District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
249,ARUNACHAL PRADESH,83448,41758,41690,45278,24807,20471,0,78323,33370,17898,15472,25717,7653,50078,13474,521,8779,28,297,11,3123,5373,139,750,14542,4672,19214,64790,28364,93154,56054,20055,7230,782,569,1435,3653,3580,5007,6658,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,998.371569519613,54.25893969897421
250,ARUNACHAL PRADESH,112274,58168,54106,64746,36777,27969,0,92783,49177,29156,20021,43000,6177,63097,15881,2218,29969,577,3311,49,6115,14204,303,1300,22272,8503,30775,74220,27956,102176,70415,28305,13469,2129,1964,4023,10217,9593,10692,15800,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,930.1677898500894,57.66784829969539
251,ARUNACHAL PRADESH,99214,50116,49098,62576,34210,28366,0,69979,40222,23591,16631,33578,6644,58992,27854,2289,18254,69,776,30,4866,14231,450,1582,19497,9524,29021,65119,21543,86662,61993,25334,11802,6380,2072,4568,12744,9363,8399,11735,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,979.6871258679862,63.07174390710988
252,ARUNACHAL PRADESH,35320,18699,16621,18195,10723,7472,0,28468,17644,9968,7676,14524,3120,17676,5261,411,5643,27,2577,7,1504,6198,97,392,8569,2182,10751,20992,11209,32201,21090,8910,5252,136,430,1031,3491,2823,2714,4413,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,888.8710626236697,51.514722536806346
253,ARUNACHAL PRADESH,148226,76948,71278,73174,44027,29147,0,53878,62966,39329,23637,50765,12201,85260,47683,2134,35969,94,50381,95,4762,14593,170,1486,33422,6498,39920,80456,57290,137746,96630,35018,16414,13306,1102,2450,10621,9314,9721,19606,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,926.3138743047252,49.3665079000985
254,ARUNACHAL PRADESH,111975,57604,54371,47974,29313,18661,0,98372,50169,27545,22624,44262,5907,61806,20682,1103,83361,61,778,43,3104,16026,98,888,18420,6500,24920,57106,50628,107734,71785,25669,14423,963,679,1369,7182,6118,6582,16937,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,943.8754253176863,42.843491850859564
255,ARUNACHAL PRADESH,83030,41843,41187,54057,29470,24587,0,72911,30202,17339,12863,22669,7533,52828,9551,1482,34402,27,193,13,4211,12493,381,1598,18112,5365,23477,54034,17273,71307,55258,20305,7412,1063,2002,2973,9532,7285,8804,11232,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,984.3223478240088,65.1053835962905
256,ARUNACHAL PRADESH,92076,45318,46758,36606,20258,16348,0,90764,38044,18429,19615,24372,13672,54032,4859,471,51189,43,121,81,586,3911,95,969,18603,1092,19695,53659,42621,96280,64379,20713,6836,189,605,884,3318,1320,2173,4066,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,1031.7754534622004,39.756288283591815
258,ARUNACHAL PRADESH,54080,28053,26027,31849,18087,13762,0,25974,22326,14102,8224,19829,2497,31754,28915,2247,9213,33,2932,19,3068,5932,207,742,12000,3950,15950,33141,14406,47547,35140,13254,5652,4410,703,2128,6616,4345,4945,6143,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,927.7795601183474,58.89238165680474
259,ARUNACHAL PRADESH,145726,76221,69505,83062,48380,34682,0,47410,60945,38910,22035,50754,10191,84781,99020,3846,10684,210,24452,104,6549,17157,312,1471,33599,11372,44971,91574,52421,143995,94890,35493,15195,16426,1203,3884,13372,12215,11806,17327,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,911.887799950145,56.998751080795465
